1,believe,を信じる
2,consider,を見なす
3,expect,を予期する、と思う
4,decide,決める
5,allow,を許す
6,remember,覚えている
7,worry,心配する
8,concern,に関係する、を心配させる
9,suggest,を提案する
10,explain,説明する
11,describe,の特徴を述べる
12,improve,を改善する
13,produce,を生産する
14,create,を創造する
15,provide,を供給する
16,increase,増える
17,grow,成長する
18,develop,を開発する
19,rise,上がる、昇る
20,raise,を上げる、（子供）を育てる
21,follow,次に続く、に従う
22,require,を要求する
23,fill,を満たす
24,support,を支持する
25,share,を共同で使う
26,face,に直面する、（危険などが）の身に迫る
27,touch,を感動させる
28,store,を蓄える
29,pay,（金）を支払う
30,deal,に対処する，を扱う
31,save,（時間、金銭など）を節約する
32,happen,（事が）起こる、たまたまする
33,occur,（事が）起こる
34,work,機能する
35,change,を変える
36,run,を経営する
37,turn,の向きを変える
38,return,戻る、帰る
39,stand,を我慢する
40,lie,横たわる、うそをつく
41,brain,脳
42,mind,心、精神
43,language,言語
44,thought,考え
45,knowledge,知識
46,skill,技能、技術
47,technology,科学技術
48,culture,文化
49,experience,経験
50,result,結果
51,reason,理由
52,cause,原因
53,effect,影響、効果
54,matter,問題
55,sense,感覚
56,way,方法、道
57,term,期間、（専門）用語
58,situation,状況
59,condition,状態、状況
60,position,（所定の）位置、場所、立場
61,environment,環境
62,nature,自然
63,research,研究、調査
64,rule,規則
65,interest,興味
66,value,価値
67,view,意見
68,sound,音
69,form,形状、（記入）用紙
70,case,場合
71,role,役割
72,age,年齢
73,care,世話
74,risk,危険（性）
75,human,人間の
76,free,自由な
77,sure,確信して
78,certain,確信して、ある程度の
79,main,主要な
80,major,主要な
81,minor,重要でない
82,clear,明らかな
83,likely,ありそうな
84,possible,あり得る、可能な
85,similar,似ている
86,close,（ごく）近い
87,common,共通の
88,general,一般的な
89,ordinary,普通の
90,specific,明確な
91,particular,特別の
92,individual,個人の
93,unique,特有の
94,rare,珍しい、まれな
95,therefore,したがって、その結果
96,thus,したがって
97,moreover,そのうえ、さらに
98,furthermore,そのうえ
99,besides,そのうえ
100,nonetheless,それにもかかわらず
101,notice,気づく
102,note,注意する、注目する
103,discover,を発見する
104,realize,（はっきりと）理解する
105,recognize,をそれとわかる
106,encourage,を励ます
107,force,（人）に無理やりさせる
108,order,を注文する
109,affect,に影響する
110,offer,（人）に（物・事）を提供する
111,demand,を要求する
112,argue,と主張する
113,claim,を主張する
114,object,反対する
115,challenge,に異議を唱える
116,involve,を巻き込む
117,include,を含む
118,contain,を含む
119,relate,を関連づける
120,connect,をつなぐ
121,refer,言及する
122,contact,と連絡する
123,compare,を比べる
124,measure,を測る
125,mark,（印など）をつける
126,approach,近づく
127,reach,に到着する
128,achieve,を達成する
129,receive,を受け取る
130,complete,を完成させる
131,lead,を導く
132,win,勝つ
133,lose,を失う
134,fail,できない
135,miss,に乗り遅れる
136,lack,に欠けている、が不足している
137,reduce,を減らす
138,avoid,を避ける
139,limit,を制限する
140,prevent,を妨げる
141,wear,を身に着けている
142,bear,を我慢する、を（心に）抱く
143,focus,を集中させる
144,author,著者
145,professor,教授
146,sentence,文、（宣告された）刑
147,passage,（文章の）一節
148,message,伝言、メッセージ
149,statement,陳述
150,topic,論題、話題
151,article,記事
152,issue,問題
153,theory,理論
154,evidence,証拠
155,experiment,実験
156,subject,（研究、話などの）主題
157,government,政府
158,policy,政策、方針
159,education,教育
160,company,会社
161,colleague,同僚
162,industry,産業
163,trade,貿易
164,economy,（国家などの）経済
165,customer,顧客
166,benefit,（物質的、精神的）利益
167,figure,図
168,rate,比率
169,chance,見込み
170,opportunity,機会
171,project,事業
172,practice,練習
173,effort,努力
174,quality,質
175,quantity,量
176,amount,金額
